# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.886466407775878906e+01 1.214683279395103455e-01 7.886214256286621094e-01 1.886466407775878906e+01 1.214683279395103455e-01 7.886214256286621094e-01
1.000000000000000000e+03 5.498009547591209412e-02 1.436192193068563938e-03 8.112493157386779785e-02 5.498009547591209412e-02 1.436192193068563938e-03 8.112493157386779785e-02
2.000000000000000000e+03 2.365037985146045685e-02 5.595469265244901180e-04 3.313788771629333496e-02 2.365037985146045685e-02 5.595469265244901180e-04 3.313788771629333496e-02
3.000000000000000000e+03 1.690494269132614136e-02 8.719311881577596068e-05 2.249759994447231293e-02 1.690494269132614136e-02 8.719311881577596068e-05 2.249759994447231293e-02
4.000000000000000000e+03 1.473842561244964600e-02 2.397012394794728607e-05 1.810172758996486664e-02 1.473842561244964600e-02 2.397012394794728607e-05 1.810172758996486664e-02
5.000000000000000000e+03 1.182223763316869736e-02 1.315310782956657931e-05 1.188351120799779892e-02 1.182223763316869736e-02 1.315310782956657931e-05 1.188351120799779892e-02
6.000000000000000000e+03 5.198548547923564911e-03 1.036447702063014731e-05 5.250361282378435135e-03 5.198548547923564911e-03 1.036447702063014731e-05 5.250361282378435135e-03
7.000000000000000000e+03 3.423255169764161110e-03 4.780703875439940020e-06 2.907910384237766266e-03 3.423255169764161110e-03 4.780703875439940020e-06 2.907910384237766266e-03
8.000000000000000000e+03 2.602722495794296265e-03 3.732761342689627782e-06 1.891632797196507454e-03 2.602722495794296265e-03 3.732761342689627782e-06 1.891632797196507454e-03
9.000000000000000000e+03 2.223897492513060570e-03 2.347160943827475421e-06 1.290616928599774837e-03 2.223897492513060570e-03 2.347160943827475421e-06 1.290616928599774837e-03
1.000000000000000000e+04 1.708007650449872017e-03 1.262775640498148277e-06 9.467810741625726223e-04 1.708007650449872017e-03 1.262775640498148277e-06 9.467810741625726223e-04
1.000000000000000000e+04 1.708007650449872017e-03 1.262775640498148277e-06 9.467810741625726223e-04 1.708007650449872017e-03 1.262775640498148277e-06 9.467810741625726223e-04
1.000400000000000000e+04 1.707999967038631439e-03 1.262364435206109192e-06 9.467728668823838234e-04 1.707999967038631439e-03 1.262364435206109192e-06 9.467728668823838234e-04
